frame,time_sec,droplet_id,x,y,radius,area
0,0.0,0,318,484,44,6082.123377349839
0,0.0,1,320,236,43,5808.804816487527
0,0.0,2,304,302,43,5808.804816487527
0,0.0,3,384,148,36,4071.5040790523717
0,0.0,4,284,352,26,2123.7166338267
0,0.0,5,370,542,34,3631.6811075498013
0,0.0,6,438,116,30,2827.4333882308138
0,0.0,7,486,596,38,4536.459791783661
0,0.0,8,300,414,32,3216.990877275948
0,0.0,9,740,80,38,4536.459791783661
0,0.0,10,436,198,35,3848.4510006474966
0,0.0,11,590,658,30,2827.4333882308138
0,0.0,12,430,136,34,3631.6811075498013
0,0.0,13,786,100,33,3421.194399759285
0,0.0,14,664,68,26,2123.7166338267
0,0.0,15,416,194,22,1520.5308443374597
0,0.0,16,280,246,23,1661.9025137490005
0,0.0,17,394,400,27,2290.221044466959
0,0.0,18,588,78,22,1520.5308443374597
0,0.0,19,406,612,18,1017.8760197630929
0,0.0,20,396,250,14,615.7521601035994
0,0.0,21,372,344,24,1809.5573684677208
0,0.0,22,390,596,24,1809.5573684677208
0,0.0,23,458,164,20,1256.6370614359173
0,0.0,24,306,266,19,1134.1149479459152
0,0.0,25,330,254,22,1520.5308443374597
0,0.0,26,358,290,20,1256.6370614359173
0,0.0,27,418,86,17,907.9202768874503
5,0.041666666666666664,0,376,614,17,907.9202768874503
5,0.041666666666666664,1,370,570,20,1256.6370614359173
10,0.08333333333333333,0,376,566,38,4536.459791783661
10,0.08333333333333333,1,308,456,29,2642.079421669016
10,0.08333333333333333,2,386,584,20,1256.6370614359173
10,0.08333333333333333,3,296,384,18,1017.8760197630929
15,0.125,0,436,608,45,6361.725123519332
15,0.125,1,846,652,22,1520.5308443374597
15,0.125,2,326,512,25,1963.4954084936207
15,0.125,3,382,580,28,2463.0086404143976
15,0.125,4,486,96,32,3216.990877275948
15,0.125,5,310,228,22,1520.5308443374597
20,0.16666666666666666,0,366,576,49,7542.963961269093
20,0.16666666666666666,1,348,520,42,5541.769440932396
20,0.16666666666666666,2,498,650,34,3631.6811075498013
20,0.16666666666666666,3,386,582,33,3421.194399759285
20,0.16666666666666666,4,430,612,29,2642.079421669016
20,0.16666666666666666,5,572,652,40,5026.548245743669
20,0.16666666666666666,6,290,322,28,2463.0086404143976
20,0.16666666666666666,7,322,262,28,2463.0086404143976
20,0.16666666666666666,8,472,644,19,1134.1149479459152
20,0.16666666666666666,9,378,392,31,3019.0705400997913
20,0.16666666666666666,10,350,548,18,1017.8760197630929
20,0.16666666666666666,11,606,318,10,314.1592653589793
20,0.16666666666666666,12,884,130,18,1017.8760197630929
20,0.16666666666666666,13,388,616,24,1809.5573684677208
20,0.16666666666666666,14,480,90,24,1809.5573684677208
25,0.20833333333333334,0,338,526,32,3216.990877275948
25,0.20833333333333334,1,304,324,35,3848.4510006474966
25,0.20833333333333334,2,482,646,18,1017.8760197630929
25,0.20833333333333334,3,292,378,34,3631.6811075498013
25,0.20833333333333334,4,296,292,24,1809.5573684677208
30,0.25,0,336,524,39,4778.362426110075
30,0.25,1,296,320,28,2463.0086404143976
30,0.25,2,322,228,39,4778.362426110075
30,0.25,3,296,390,35,3848.4510006474966
30,0.25,4,306,442,43,5808.804816487527
30,0.25,5,444,612,35,3848.4510006474966
30,0.25,6,452,664,22,1520.5308443374597
30,0.25,7,374,644,16,804.247719318987
30,0.25,8,312,276,22,1520.5308443374597
35,0.2916666666666667,0,310,258,49,7542.963961269093
35,0.2916666666666667,1,372,570,42,5541.769440932396
