frame,time_sec,droplet_id,x,y,radius,area
0,0.0,0,606,314,7,153.93804002589985
0,0.0,1,584,326,7,153.93804002589985
0,0.0,2,682,304,8,201.06192982974676
5,0.041666666666666664,0,584,326,7,153.93804002589985
5,0.041666666666666664,1,608,316,9,254.46900494077323
10,0.08333333333333333,0,606,316,9,254.46900494077323
10,0.08333333333333333,1,584,328,9,254.46900494077323
10,0.08333333333333333,2,572,422,8,201.06192982974676
15,0.125,0,584,326,8,201.06192982974676
15,0.125,1,608,316,8,201.06192982974676
15,0.125,2,566,418,9,254.46900494077323
20,0.16666666666666666,0,584,326,7,153.93804002589985
20,0.16666666666666666,1,604,314,7,153.93804002589985
25,0.20833333333333334,0,584,326,7,153.93804002589985
25,0.20833333333333334,1,608,316,8,201.06192982974676
25,0.20833333333333334,2,572,422,8,201.06192982974676
25,0.20833333333333334,3,678,300,9,254.46900494077323
30,0.25,0,584,326,7,153.93804002589985
30,0.25,1,606,316,9,254.46900494077323
30,0.25,2,586,432,9,254.46900494077323
30,0.25,3,572,422,8,201.06192982974676
35,0.2916666666666667,0,606,316,9,254.46900494077323
35,0.2916666666666667,1,582,326,7,153.93804002589985
35,0.2916666666666667,2,572,422,8,201.06192982974676
35,0.2916666666666667,3,672,274,9,254.46900494077323
35,0.2916666666666667,4,686,312,8,201.06192982974676
40,0.3333333333333333,0,604,314,7,153.93804002589985
40,0.3333333333333333,1,584,328,9,254.46900494077323
45,0.375,0,608,316,8,201.06192982974676
45,0.375,1,576,426,9,254.46900494077323
50,0.4166666666666667,0,584,326,7,153.93804002589985
50,0.4166666666666667,1,606,316,9,254.46900494077323
50,0.4166666666666667,2,680,280,9,254.46900494077323
55,0.4583333333333333,0,582,326,7,153.93804002589985
55,0.4583333333333333,1,608,316,9,254.46900494077323
55,0.4583333333333333,2,576,426,9,254.46900494077323
60,0.5,0,584,326,7,153.93804002589985
60,0.5,1,606,312,7,153.93804002589985
65,0.5416666666666666,0,606,312,7,153.93804002589985
65,0.5416666666666666,1,584,326,7,153.93804002589985
65,0.5416666666666666,2,586,432,9,254.46900494077323
70,0.5833333333333334,0,606,314,7,153.93804002589985
70,0.5833333333333334,1,576,426,9,254.46900494077323
70,0.5833333333333334,2,582,324,8,201.06192982974676
75,0.625,0,582,326,7,153.93804002589985
