frame,time_sec,droplet_id,x,y,radius,area
0,0.0,0,500,110,19,1134.1149479459152
75,0.625,0,392,218,15,706.8583470577034
425,3.5416666666666665,0,618,312,10,314.1592653589793
480,4.0,0,604,322,11,380.1327110843649
505,4.208333333333333,0,606,322,11,380.1327110843649
515,4.291666666666667,0,606,322,11,380.1327110843649
670,5.583333333333333,0,642,306,10,314.1592653589793
715,5.958333333333333,0,370,424,19,1134.1149479459152
980,8.166666666666666,0,604,358,10,314.1592653589793
990,8.25,0,604,358,10,314.1592653589793
1080,9.0,0,606,356,10,314.1592653589793
1080,9.0,1,640,320,10,314.1592653589793
1160,9.666666666666666,0,618,346,8,201.06192982974676
1215,10.125,0,620,346,9,254.46900494077323
1230,10.25,0,618,348,9,254.46900494077323
1285,10.708333333333334,0,618,348,9,254.46900494077323
1325,11.041666666666666,0,634,332,10,314.1592653589793
1330,11.083333333333334,0,602,352,25,1963.4954084936207
1385,11.541666666666666,0,634,334,10,314.1592653589793
1470,12.25,0,618,358,9,254.46900494077323
1565,13.041666666666666,0,632,342,10,314.1592653589793
1585,13.208333333333334,0,632,342,9,254.46900494077323
1635,13.625,0,616,362,10,314.1592653589793
1695,14.125,0,630,344,24,1809.5573684677208
1700,14.166666666666666,0,632,344,9,254.46900494077323
1705,14.208333333333334,0,632,346,9,254.46900494077323
1715,14.291666666666666,0,632,344,11,380.1327110843649
1730,14.416666666666666,0,632,346,10,314.1592653589793
1755,14.625,0,632,346,10,314.1592653589793
1835,15.291666666666666,0,616,366,10,314.1592653589793
1895,15.791666666666666,0,618,366,12,452.3893421169302
1950,16.25,0,632,350,10,314.1592653589793
2010,16.75,0,634,352,10,314.1592653589793
2015,16.791666666666668,0,634,352,10,314.1592653589793
2040,17.0,0,634,352,9,254.46900494077323
2045,17.041666666666668,0,632,350,7,153.93804002589985
2055,17.125,0,634,354,10,314.1592653589793
2120,17.666666666666668,0,630,354,9,254.46900494077323
2125,17.708333333333332,0,630,354,9,254.46900494077323
2190,18.25,0,628,358,9,254.46900494077323
2515,20.958333333333332,0,518,100,18,1017.8760197630929
2605,21.708333333333332,0,618,362,10,314.1592653589793
3145,26.208333333333332,0,384,464,29,2642.079421669016
3340,27.833333333333332,0,514,102,29,2642.079421669016
3340,27.833333333333332,1,356,340,23,1661.9025137490005
3480,29.0,0,546,98,28,2463.0086404143976
3535,29.458333333333332,0,724,118,24,1809.5573684677208
3605,30.041666666666668,0,730,120,22,1520.5308443374597
3610,30.083333333333332,0,512,146,28,2463.0086404143976
3635,30.291666666666668,0,552,100,17,907.9202768874503
3700,30.833333333333332,0,456,156,27,2290.221044466959
3705,30.875,0,396,490,16,804.247719318987
3805,31.708333333333332,0,444,162,17,907.9202768874503
